Year,Planting.date,Unit ,Plot,Species,Number,Soil,Slash,VSMxtree,HT.cm.initial,RCD.mm.initial
2020,5/14/21,3,5,ACSA,1,U,0,22.2,30.5,4.5
2020,5/14/21,3,5,ACSA,2,U,2,21,32.5,4.1
2020,5/14/21,3,5,ACSA,3,U,1,28.8,47.5,3.9
2020,5/14/21,3,5,ACSA,4,U,1,17.8,24.5,3.3
2020,5/14/21,3,5,ACSA,5,U,2,26.2,38.5,4
2020,5/14/21,3,5,ACSA,6,U,0,16.8,25,2.3
2020,5/14/21,3,5,ACSA,7,U,1,12.4,31.5,3.3
2020,5/14/21,3,5,ACSA,8,U,1,27.5,29.5,3.6
2020,5/14/21,3,5,ACSA,9,U,0,29.7,31,3.4
2020,5/14/21,3,5,ACSA,10,U,3,24.5,33,3.1
2020,5/14/21,3,5,ACSA,11,U,2,25.1,24,3.1
2020,5/14/21,3,5,ACSA,12,U,2,14.9,39,2.7
2020,5/14/21,3,5,ACSA,13,U,3,11.3,44.5,6.2
2020,5/14/21,3,5,ACSA,14,U,1,22.3,36,4.8
2020,5/14/21,3,5,ACSA,15,U,0,28.7,37.5,4.1
2020,5/14/21,3,5,ACSA,16,U,1,16.7,25,2.7
2020,5/14/21,3,5,ACSA,17,U,2,24.4,34,4.3
2020,5/14/21,3,5,ACSA,18,U,0,17.9,53,8.4
2020,5/14/21,3,5,ACSA,19,U,0,24.6,33,5.3
2020,5/14/21,3,5,ACSA,20,U,0,24.1,43,4.4
2020,5/14/21,3,5,ACSA,21,U,1,,36.5,3.2
2020,5/14/21,3,5,NYSY,1,U,0,17.6,13,4.5
2020,5/14/21,3,5,NYSY,2,U,0,14.2,15,6
2020,5/14/21,3,5,NYSY,3,U,1,20.4,8,3.5
2020,5/14/21,3,5,NYSY,4,U,1,14.4,12,2.4
2020,5/14/21,3,5,NYSY,5,U,3,20.9,11.5,3
2020,5/14/21,3,5,NYSY,6,U,0,22.8,10.5,4.6
2020,5/14/21,3,5,NYSY,7,U,,24.4,,
2020,5/14/21,3,5,NYSY,8,U,0,21.4,12,4.3
2020,5/14/21,3,5,NYSY,9,U,0,8.1,9,3.3
2020,5/14/21,3,5,NYSY,10,U,0,29.2,15,4.9
2020,5/14/21,3,5,NYSY,11,U,1,16,15,5.7
2020,5/14/21,3,5,NYSY,12,U,2,19.2,9.5,3.7
2020,5/14/21,3,5,NYSY,13,U,1,16.7,12.5,3.9
2020,5/14/21,3,5,NYSY,14,U,1,11.2,10,2.6
2020,5/14/21,3,5,NYSY,15,U,1,20,12,4.6
2020,5/14/21,3,5,NYSY,16,U,0,17.3,10.5,3.8
2020,5/14/21,3,5,NYSY,17,U,1,26.8,12.5,4.7
2020,5/14/21,3,5,NYSY,18,U,0,24.4,11.5,4.7
2020,5/14/21,3,5,NYSY,19,U,2,17.1,12,4.4
2020,5/14/21,3,5,NYSY,20,U,0,39.6,11.5,3.6
2020,5/14/21,3,5,PRSE,1,U,0,46,28.5,3.4
2020,5/14/21,3,5,PRSE,2,U,2,19.1,25,5.9
2020,5/14/21,3,5,PRSE,3,U,2,17.5,18.5,2.3
2020,5/14/21,3,5,PRSE,4,U,2,26.6,29,2.7
2020,5/14/21,3,5,PRSE,5,U,4,24.8,33.7,3.1
2020,5/14/21,3,5,PRSE,6,U,3,16.7,17.5,3.3
2020,5/14/21,3,5,PRSE,7,U,1,18.7,28,3.7
2020,5/14/21,3,5,PRSE,8,U,0,25.7,22.5,3.9
2020,5/14/21,3,5,PRSE,9,U,0,25.1,29.5,4.8
2020,5/14/21,3,5,PRSE,10,U,1,31.2,23.5,3.4
2020,5/14/21,3,5,PRSE,11,U,0,24.5,19,4.3
2020,5/14/21,3,5,PRSE,12,U,1,33.2,25,2.9
2020,5/14/21,3,5,PRSE,13,U,3,23.4,26.5,4.3
2020,5/14/21,3,5,PRSE,14,U,1,17.2,22.5,2.3
